/opt/miniconda3/envs/mdetr/lib/python3.9/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/opt/miniconda3/envs/mdetr/lib/python3.9/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet101_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet101_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['pooler.dense.bias', 'pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/root/mdetr/train.py:151: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(pretrained_path, map_location="cpu")
📂 데이터 로딩 중: /root/dataset/train_mdetr.json
✅ dataset len = 2663
🚀 building model...
📝 using tokenizer: roberta-base
📥 No resume file found. Loading Pre-trained weights: /root/mdetr/checkpoints/pretrained_resnet101_checkpoint.pth
=== Start Training (Epoch 0 ~ 30) ===
[Epoch 0 | Iter 0] loss=334.3152
[Epoch 0 | Iter 20] loss=222.6123
[Epoch 0 | Iter 40] loss=138.6448
[Epoch 0 | Iter 60] loss=186.3240
[Epoch 0 | Iter 80] loss=160.5972
[Epoch 0 | Iter 100] loss=113.0743
[Epoch 0 | Iter 120] loss=202.9784
[Epoch 0 | Iter 140] loss=118.9468
[Epoch 0 | Iter 160] loss=196.9002
[Epoch 0 | Iter 180] loss=100.9168
[Epoch 0 | Iter 200] loss=113.6818
[Epoch 0 | Iter 220] loss=79.0040
[Epoch 0 | Iter 240] loss=122.4770
[Epoch 0 | Iter 260] loss=124.9415
[Epoch 0 | Iter 280] loss=186.5572
[Epoch 0 | Iter 300] loss=83.1611
[Epoch 0 | Iter 320] loss=90.3825
[Epoch 0 | Iter 340] loss=49.5648
[Epoch 0 | Iter 360] loss=101.5127
[Epoch 0 | Iter 380] loss=185.4025
[Epoch 0 | Iter 400] loss=136.8146
[Epoch 0 | Iter 420] loss=64.2747
[Epoch 0 | Iter 440] loss=90.0641
[Epoch 0 | Iter 460] loss=81.0939
[Epoch 0 | Iter 480] loss=141.7799
[Epoch 0 | Iter 500] loss=77.7314
[Epoch 0 | Iter 520] loss=247.7303
[Epoch 0 | Iter 540] loss=123.0864
[Epoch 0 | Iter 560] loss=102.2075
[Epoch 0 | Iter 580] loss=70.6467
[Epoch 0 | Iter 600] loss=115.5452
[Epoch 0 | Iter 620] loss=121.4095
[Epoch 0 | Iter 640] loss=110.6516
[Epoch 0 | Iter 660] loss=42.3971
[Epoch 0 | Iter 680] loss=97.8540
[Epoch 0 | Iter 700] loss=76.4114
[Epoch 0 | Iter 720] loss=57.6455
[Epoch 0 | Iter 740] loss=122.8451
[Epoch 0 | Iter 760] loss=107.9402
[Epoch 0 | Iter 780] loss=62.6337
[Epoch 0 | Iter 800] loss=139.7001
[Epoch 0 | Iter 820] loss=57.7348
[Epoch 0 | Iter 840] loss=103.3367
[Epoch 0 | Iter 860] loss=122.1205
[Epoch 0 | Iter 880] loss=85.6899
[Epoch 0 | Iter 900] loss=171.2937
[Epoch 0 | Iter 920] loss=76.7153
[Epoch 0 | Iter 940] loss=119.3085
[Epoch 0 | Iter 960] loss=154.0299
[Epoch 0 | Iter 980] loss=105.5874
[Epoch 0 | Iter 1000] loss=190.9595
[Epoch 0 | Iter 1020] loss=105.7226
[Epoch 0 | Iter 1040] loss=73.4770
[Epoch 0 | Iter 1060] loss=93.5325
[Epoch 0 | Iter 1080] loss=90.5421
[Epoch 0 | Iter 1100] loss=103.9499
[Epoch 0 | Iter 1120] loss=105.6978
[Epoch 0 | Iter 1140] loss=118.1352
[Epoch 0 | Iter 1160] loss=161.0428
[Epoch 0 | Iter 1180] loss=88.0008
[Epoch 0 | Iter 1200] loss=164.9224
[Epoch 0 | Iter 1220] loss=76.6033
[Epoch 0 | Iter 1240] loss=72.0713
[Epoch 0 | Iter 1260] loss=100.0815
[Epoch 0 | Iter 1280] loss=76.2184
[Epoch 0 | Iter 1300] loss=144.4655
[Epoch 0 | Iter 1320] loss=60.3788
=== Epoch 0 done | avg_loss=119.6320 ===
🎉 Performance Improved! (Loss: inf -> 119.6320)
💾 Saved Best Model to: outputs/aihub_run1/checkpoint_best.pth
[Epoch 1 | Iter 0] loss=59.5011
[Epoch 1 | Iter 20] loss=111.2658
[Epoch 1 | Iter 40] loss=109.1221
[Epoch 1 | Iter 60] loss=73.5818
[Epoch 1 | Iter 80] loss=74.6999
[Epoch 1 | Iter 100] loss=85.0219
[Epoch 1 | Iter 120] loss=95.5803
[Epoch 1 | Iter 140] loss=144.9676
[Epoch 1 | Iter 160] loss=65.4080
[Epoch 1 | Iter 180] loss=104.9491
[Epoch 1 | Iter 200] loss=96.0065
[Epoch 1 | Iter 220] loss=91.0843
[Epoch 1 | Iter 240] loss=61.4856
[Epoch 1 | Iter 260] loss=93.2316
[Epoch 1 | Iter 280] loss=79.7775
[Epoch 1 | Iter 300] loss=36.9137
[Epoch 1 | Iter 320] loss=123.4431
[Epoch 1 | Iter 340] loss=53.5928
[Epoch 1 | Iter 360] loss=52.9880
[Epoch 1 | Iter 380] loss=63.8509
[Epoch 1 | Iter 400] loss=129.3367
[Epoch 1 | Iter 420] loss=86.3332
[Epoch 1 | Iter 440] loss=161.6725
[Epoch 1 | Iter 460] loss=95.6690
[Epoch 1 | Iter 480] loss=86.1040
[Epoch 1 | Iter 500] loss=154.3096
[Epoch 1 | Iter 520] loss=67.0541
[Epoch 1 | Iter 540] loss=111.9304
[Epoch 1 | Iter 560] loss=88.5812
[Epoch 1 | Iter 580] loss=73.4145
[Epoch 1 | Iter 600] loss=126.3346
[Epoch 1 | Iter 620] loss=62.8213
[Epoch 1 | Iter 640] loss=68.2597
[Epoch 1 | Iter 660] loss=58.0163
[Epoch 1 | Iter 680] loss=44.9939
[Epoch 1 | Iter 700] loss=65.3215
[Epoch 1 | Iter 720] loss=145.2782
[Epoch 1 | Iter 740] loss=71.0279
[Epoch 1 | Iter 760] loss=144.6581
[Epoch 1 | Iter 780] loss=111.0314
[Epoch 1 | Iter 800] loss=109.5337
[Epoch 1 | Iter 820] loss=79.0618
[Epoch 1 | Iter 840] loss=68.0950
[Epoch 1 | Iter 860] loss=134.8622
[Epoch 1 | Iter 880] loss=69.3494
[Epoch 1 | Iter 900] loss=84.1969
[Epoch 1 | Iter 920] loss=115.6212
[Epoch 1 | Iter 940] loss=69.9571
[Epoch 1 | Iter 960] loss=105.6662
[Epoch 1 | Iter 980] loss=95.0843
[Epoch 1 | Iter 1000] loss=110.8573
[Epoch 1 | Iter 1020] loss=87.3427
[Epoch 1 | Iter 1040] loss=81.8209
[Epoch 1 | Iter 1060] loss=72.9405
[Epoch 1 | Iter 1080] loss=88.4565
[Epoch 1 | Iter 1100] loss=88.7876
[Epoch 1 | Iter 1120] loss=100.6877
[Epoch 1 | Iter 1140] loss=71.1828
[Epoch 1 | Iter 1160] loss=78.1860
[Epoch 1 | Iter 1180] loss=97.0318
[Epoch 1 | Iter 1200] loss=89.0747
[Epoch 1 | Iter 1220] loss=88.6575
[Epoch 1 | Iter 1240] loss=109.4136
[Epoch 1 | Iter 1260] loss=113.9385
[Epoch 1 | Iter 1280] loss=97.5504
[Epoch 1 | Iter 1300] loss=62.6187
[Epoch 1 | Iter 1320] loss=84.5751
=== Epoch 1 done | avg_loss=93.3424 ===
🎉 Performance Improved! (Loss: 119.6320 -> 93.3424)
💾 Saved Best Model to: outputs/aihub_run1/checkpoint_best.pth
[Epoch 2 | Iter 0] loss=93.7940
[Epoch 2 | Iter 20] loss=57.5326
[Epoch 2 | Iter 40] loss=94.6971
[Epoch 2 | Iter 60] loss=117.1256
[Epoch 2 | Iter 80] loss=63.0928
[Epoch 2 | Iter 100] loss=73.9632
[Epoch 2 | Iter 120] loss=58.8514
[Epoch 2 | Iter 140] loss=51.3519
[Epoch 2 | Iter 160] loss=73.4938
[Epoch 2 | Iter 180] loss=118.7201
[Epoch 2 | Iter 200] loss=64.2911
[Epoch 2 | Iter 220] loss=87.6834
